Latitude (decimal degrees):	48.265
Longitude (decimal degrees):	11.669
Elevation (m):	476
Radiation database:	PVGIS-SARAH3


Slope: 38 deg. (optimum)
Azimuth: 1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	0.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050101:0010,0.0,0.0,0.0,0.0,0.0,1.55,2.9,0.0
20050101:0110,0.0,0.0,0.0,0.0,0.0,1.39,2.97,0.0
20050101:0210,0.0,0.0,0.0,0.0,0.0,1.66,3.1,0.0
20050101:0310,0.0,0.0,0.0,0.0,0.0,2.09,3.24,0.0
20050101:0410,0.0,0.0,0.0,0.0,0.0,2.4,3.31,0.0
20050101:0510,0.0,0.0,0.0,0.0,0.0,2.65,3.45,0.0
20050101:0610,0.0,0.0,0.0,0.0,0.0,2.82,3.59,0.0
20050101:0710,0.0,0.0,0.0,0.0,0.0,2.6,3.38,0.0
20050101:0810,29.45,12.49,29.47,0.71,7.48,2.73,3.17,0.0
20050101:0910,42.69,0.0,55.46,1.3,13.35,3.12,3.03,0.0
20050101:1010,67.01,0.0,79.61,1.87,17.21,3.88,2.55,0.0
20050101:1110,55.01,0.0,67.98,1.59,18.71,4.27,2.9,0.0
20050101:1210,76.08,0.0,88.56,2.08,17.7,4.52,2.83,0.0
20050101:1310,101.04,14.81,97.29,2.31,14.28,4.35,2.9,0.0
20050101:1410,520.96,397.18,118.72,3.19,8.78,4.27,2.83,0.0
20050101:1510,6.06,0.0,15.21,0.36,1.63,4.11,2.76,0.0
20050101:1610,0.0,0.0,0.0,0.0,0.0,3.52,2.69,0.0
20050101:1710,0.0,0.0,0.0,0.0,0.0,3.08,2.83,0.0
20050101:1810,0.0,0.0,0.0,0.0,0.0,2.76,2.9,0.0
20050101:1910,0.0,0.0,0.0,0.0,0.0,2.88,2.83,0.0
20050101:2010,0.0,0.0,0.0,0.0,0.0,2.72,2.83,0.0
20050101:2110,0.0,0.0,0.0,0.0,0.0,3.12,3.1,0.0
20050101:2210,0.0,0.0,0.0,0.0,0.0,3.56,3.66,0.0
20050101:2310,0.0,0.0,0.0,0.0,0.0,4.43,4.21,0.0
