Latitude (decimal degrees):	0.317
Longitude (decimal degrees):	32.593
Elevation (m):	1151
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. (optimum)
Azimuth: -109667705 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050101:0006,0.0,0.0,0.0,19.98,2.69,0.0
20050101:0106,0.0,0.0,0.0,19.89,2.69,0.0
20050101:0206,0.0,0.0,0.0,19.77,2.9,0.0
20050101:0306,0.0,0.0,0.0,19.26,3.03,0.0
20050101:0406,0.0,0.0,0.0,18.85,2.62,0.0
20050101:0506,72.98,109.01,16.62,19.62,2.14,0.0
20050101:0606,301.53,384.04,30.16,20.81,2.55,0.0
20050101:0706,443.13,559.04,43.2,21.94,2.83,0.0
20050101:0806,583.9,749.04,55.06,22.37,2.41,0.0
20050101:0906,697.93,917.05,64.02,23.57,2.28,0.0
20050101:1006,715.14,947.05,66.46,24.27,2.34,0.0
20050101:1106,140.2,191.0,60.69,24.64,2.55,0.0
20050101:1206,49.26,78.0,50.14,24.02,2.41,0.0
20050101:1306,512.11,666.05,37.64,24.17,1.86,0.0
20050101:1406,356.2,476.05,24.34,24.01,1.31,0.0
20050101:1506,141.15,233.05,10.68,23.61,0.62,0.0
20050101:1606,0.0,0.0,0.0,22.8,1.1,0.0
20050101:1706,0.0,0.0,0.0,21.99,0.55,0.0
20050101:1806,0.0,0.0,0.0,21.72,0.62,0.0
20050101:1906,0.0,0.0,0.0,19.41,2.0,0.0
20050101:2006,0.0,0.0,0.0,19.24,2.28,0.0
20050101:2106,0.0,0.0,0.0,19.06,2.28,0.0
20050101:2206,0.0,0.0,0.0,18.63,1.93,0.0
20050101:2306,0.0,0.0,0.0,18.97,1.38,0.0
20050102:0006,0.0,0.0,0.0,19.5,1.1,0.0
20050102:0106,0.0,0.0,0.0,19.03,1.17,0.0
20050102:0206,0.0,0.0,0.0,18.41,1.24,0.0
20050102:0306,0.0,0.0,0.0,17.4,1.45,0.0
20050102:0406,0.0,0.0,0.0,16.71,1.52,0.0
20050102:0506,79.26,118.01,16.53,18.98,0.76,0.0
20050102:0606,310.7,404.04,30.09,22.19,0.55,0.0
20050102:0706,480.62,629.05,43.14,23.74,0.41,0.0
20050102:0806,619.8,824.06,55.03,24.95,1.1,0.0
20050102:0906,709.0,958.06,64.05,25.73,1.45,0.0
20050102:1006,742.08,1012.06,66.56,26.17,1.52,0.0
20050102:1106,707.78,965.05,60.82,26.37,1.31,0.0
20050102:1206,633.69,858.05,50.27,26.19,0.9,0.0
20050102:1306,519.1,694.05,37.77,26.3,0.76,0.0
20050102:1406,346.71,470.05,24.46,25.98,0.69,0.0
20050102:1506,139.17,227.04,10.79,24.98,0.83,0.0
20050102:1606,0.0,0.0,-3.01,23.93,1.59,0.0
20050102:1706,0.0,0.0,0.0,22.53,2.0,0.0
20050102:1806,0.0,0.0,0.0,21.72,2.28,0.0
20050102:1906,0.0,0.0,0.0,21.09,2.69,0.0
20050102:2006,0.0,0.0,0.0,20.84,2.69,0.0
20050102:2106,0.0,0.0,0.0,20.48,2.34,0.0
20050102:2206,0.0,0.0,0.0,19.46,2.0,0.0
20050102:2306,0.0,0.0,0.0,18.66,2.21,0.0
20050103:0006,0.0,0.0,0.0,18.31,2.41,0.0
20050103:0106,0.0,0.0,0.0,18.17,2.48,0.0
20050103:0206,0.0,0.0,0.0,18.03,2.34,0.0
20050103:0306,0.0,0.0,0.0,17.85,2.28,0.0
20050103:0406,0.0,0.0,0.0,17.74,2.0,0.0
20050103:0506,74.47,111.01,16.44,18.49,1.45,0.0
20050103:0606,295.96,381.04,30.01,20.96,1.1,0.0
20050103:0706,478.84,614.05,43.08,22.84,1.52,0.0
20050103:0806,608.91,801.05,55.01,24.54,1.52,0.0
20050103:0906,700.46,943.06,64.09,25.76,1.59,0.0
20050103:1006,741.87,1013.06,66.67,26.66,1.59,0.0
20050103:1106,714.81,972.05,60.96,27.28,1.72,0.0
20050103:1206,640.03,860.05,50.41,27.35,1.66,0.0
20050103:1306,534.06,708.05,37.9,27.27,1.72,0.0
20050103:1406,350.31,473.05,24.58,26.79,1.45,0.0
20050103:1506,140.82,230.04,10.9,25.65,1.45,0.0
20050103:1606,0.0,0.0,-2.91,23.71,1.72,0.0
20050103:1706,0.0,0.0,0.0,21.94,1.52,0.0
20050103:1806,0.0,0.0,0.0,23.54,0.9,0.0
20050103:1906,0.0,0.0,0.0,19.12,2.0,0.0
20050103:2006,0.0,0.0,0.0,18.56,2.07,0.0
20050103:2106,0.0,0.0,0.0,18.2,2.21,0.0
20050103:2206,0.0,0.0,0.0,18.04,2.0,0.0
20050103:2306,0.0,0.0,0.0,18.19,1.86,0.0
20050104:0006,0.0,0.0,0.0,17.66,1.93,0.0
20050104:0106,0.0,0.0,0.0,17.7,2.0,0.0
20050104:0206,0.0,0.0,0.0,19.89,0.97,0.0
20050104:0306,0.0,0.0,0.0,18.39,1.24,0.0
20050104:0406,0.0,0.0,0.0,17.51,1.38,0.0
